subset,n_samples,standard_accuracy,rich_accuracy,correction_rate,regression_rate,net_correction,mcnemar_pvalue,margin_threshold
polarity_confusion,2692,0.0,0.23736998514115898,0.23736998514115898,0.0,639,8.767237396033612e-193,
positive_class_errors,2940,0.0,0.23809523809523808,0.23809523809523808,0.0,700,3.80218313259032e-211,
low_margin_errors,879,0.0,0.4778156996587031,0.4778156996587031,0.0,420,7.386382894228589e-127,0.08914956000000007
