type,name,id
ncrna,ADAMTS9-AS2,0
ncrna,AKR1B1,1
ncrna,ANKRD1,2
ncrna,ANRIL,3
ncrna,ARHGAP5-AS1,4
ncrna,BABAM2-AS1,5
ncrna,BAD,6
ncrna,BANCR,7
ncrna,BCAR4,8
ncrna,CASC2,9
ncrna,CASC9,10
ncrna,CCAT1,11
ncrna,CCDC144NL-AS1,12
ncrna,CRNDE,13
ncrna,DGCR5,14
ncrna,DPP10-AS1,15
ncrna,ENTPD1-AS1,16
ncrna,EPHA5-AS1,17
ncrna,EWSAT1,18
ncrna,FAM223A,19
ncrna,FENDRR,20
ncrna,FOXC2-AS1,21
ncrna,FOXD2-AS1,22
ncrna,GACAT3,23
ncrna,GAS5,24
ncrna,GIHCG,25
ncrna,H19,26
ncrna,HAR1A,27
ncrna,HIF1A-AS2,28
ncrna,HOTAIR,29
ncrna,HOTTIP,30
ncrna,HULC,31
ncrna,Hoxa-AS2,32
ncrna,JPX,33
ncrna,LINC00161,34
ncrna,LINC00239,35
ncrna,LINC00261,36
ncrna,LINC00460,37
ncrna,LINC00467,38
ncrna,LINC00473,39
ncrna,LINC00511,40
ncrna,LINC00515,41
ncrna,LINC00662,42
ncrna,LINP1,43
ncrna,LOC285194,44
ncrna,LUCAT1,45
ncrna,MACC1-AS1,46
ncrna,MALAT1,47
ncrna,MEG3,48
ncrna,MEIS1-AS3,49
ncrna,MIR31HG,50
ncrna,NEAT1,51
ncrna,NKILA,52
ncrna,NR2F1-AS1,53
ncrna,NRAL,54
ncrna,NRAV,55
ncrna,OIP5-AS1,56
ncrna,PART1,57
ncrna,PCAT-1,58
ncrna,PCGEM1,59
ncrna,PVT1,60
ncrna,PWAR6,61
ncrna,SLC25A21-AS1,62
ncrna,SNHG5,63
ncrna,SNORD95,64
ncrna,SOCS2-AS1,65
ncrna,TP53TG1,66
ncrna,TPTEP1,67
ncrna,TRPM2-AS,68
ncrna,TUG1,69
ncrna,TUSC7,70
ncrna,UCA1,71
ncrna,ULK4P1,72
ncrna,XIST,73
ncrna,XLOC_006753,74
ncrna,ZBTB20-AS4,75
ncrna,ZEB1-AS1,76
ncrna,ZFAS1,77
ncrna,ZNF667-AS1,78
ncrna,ZNF714,79
ncrna,hsa_circ_0000192,80
ncrna,hsa_circ_0000237,81
ncrna,hsa_circ_0000285,82
ncrna,hsa_circ_0000419,83
ncrna,hsa_circ_0000504,84
ncrna,hsa_circ_0001258,85
ncrna,hsa_circ_0001565,86
ncrna,hsa_circ_0001667,87
ncrna,hsa_circ_0002060,88
ncrna,hsa_circ_0002113,89
ncrna,hsa_circ_0002130,90
ncrna,hsa_circ_0002168,91
ncrna,hsa_circ_0002314,92
ncrna,hsa_circ_0002483,93
ncrna,hsa_circ_0002654,94
ncrna,hsa_circ_0002874,95
ncrna,hsa_circ_0003183,96
ncrna,hsa_circ_0003838,97
ncrna,hsa_circ_0004015,98
ncrna,hsa_circ_0004254,99
ncrna,hsa_circ_0004674,100
ncrna,hsa_circ_0004841,101
ncrna,hsa_circ_0005004,102
ncrna,hsa_circ_0005046,103
ncrna,hsa_circ_0005642,104
ncrna,hsa_circ_0005721,105
ncrna,hsa_circ_0005949,106
ncrna,hsa_circ_0006101,107
ncrna,hsa_circ_0006174,108
ncrna,hsa_circ_0006318,109
ncrna,hsa_circ_0006528,110
ncrna,hsa_circ_0006608,111
ncrna,hsa_circ_0006873,112
ncrna,hsa_circ_0006903,113
ncrna,hsa_circ_0007006,114
ncrna,hsa_circ_0007031,115
ncrna,hsa_circ_0007551,116
ncrna,hsa_circ_0007769,117
ncrna,hsa_circ_0008131,118
ncrna,hsa_circ_0008494,119
ncrna,hsa_circ_0008509,120
ncrna,hsa_circ_0011292,121
ncrna,hsa_circ_0011293,122
ncrna,hsa_circ_0011298,123
ncrna,hsa_circ_0017474,124
ncrna,hsa_circ_0017485,125
ncrna,hsa_circ_0017728,126
ncrna,hsa_circ_0018293,127
ncrna,hsa_circ_0019088,128
ncrna,hsa_circ_0020301,129
ncrna,hsa_circ_0022080,130
ncrna,hsa_circ_0022217,131
ncrna,hsa_circ_0022434,132
ncrna,hsa_circ_0023302,133
ncrna,hsa_circ_0024842,134
ncrna,hsa_circ_0025202,135
ncrna,hsa_circ_0029345,136
ncrna,hsa_circ_0030998,137
ncrna,hsa_circ_0030999,138
ncrna,hsa_circ_0031364,139
ncrna,hsa_circ_0036054,140
ncrna,hsa_circ_0036056,141
ncrna,hsa_circ_0040603,142
ncrna,hsa_circ_0041523,143
ncrna,hsa_circ_0043632,144
ncrna,hsa_circ_0043634,145
ncrna,hsa_circ_0043739,146
ncrna,hsa_circ_0043843,147
ncrna,hsa_circ_0044556,148
ncrna,hsa_circ_0048232,149
ncrna,hsa_circ_0048856,150
ncrna,hsa_circ_0050580,151
ncrna,hsa_circ_0050581,152
ncrna,hsa_circ_0054013,153
ncrna,hsa_circ_0055114,154
ncrna,hsa_circ_0055256,155
ncrna,hsa_circ_0057518,156
ncrna,hsa_circ_0058608,157
ncrna,hsa_circ_0058731,158
ncrna,hsa_circ_0060927,159
ncrna,hsa_circ_0063776,160
ncrna,hsa_circ_0063877,161
ncrna,hsa_circ_0067352,162
ncrna,hsa_circ_0068458,163
ncrna,hsa_circ_0069996,164
ncrna,hsa_circ_0069997,165
ncrna,hsa_circ_0071799,166
ncrna,hsa_circ_0072408,167
ncrna,hsa_circ_0072410,168
ncrna,hsa_circ_0074806,169
ncrna,hsa_circ_0074930,170
ncrna,hsa_circ_0076100,171
ncrna,hsa_circ_0080975,172
ncrna,hsa_circ_0081001,173
ncrna,hsa_circ_0084021,174
ncrna,hsa_circ_0084353,175
ncrna,hsa_circ_0085495,176
ncrna,hsa_circ_0085567,177
ncrna,hsa_circ_0086241,178
ncrna,hsa_circ_0087862,179
ncrna,hsa_circ_0087963,180
ncrna,hsa_circ_0091842,181
ncrna,hsa_circ_0091931,182
ncrna,hsa_circ_0091986,183
ncrna,hsa_circ_0092276,184
ncrna,let-7a,185
ncrna,let-7b,186
ncrna,let-7c,187
ncrna,let-7d,188
ncrna,let-7e,189
ncrna,let-7f,190
ncrna,let-7g,191
ncrna,let-7i,192
ncrna,linc-VLDLR,193
ncrna,lncRNA MRUL,194
ncrna,miR-1,195
ncrna,miR-100,196
ncrna,miR-100-3p,197
ncrna,miR-100-5p,198
ncrna,miR-101,199
ncrna,miR-101-3p,200
ncrna,miR-101-5p,201
ncrna,miR-103,202
ncrna,miR-105,203
ncrna,miR-106a,204
ncrna,miR-106a-3p,205
ncrna,miR-106b-5p,206
ncrna,miR-107,207
ncrna,miR-10a,208
ncrna,miR-10b,209
ncrna,miR-1182,210
ncrna,miR-1183,211
ncrna,miR-1204,212
ncrna,miR-1207-3p,213
ncrna,miR-1207-5p,214
ncrna,miR-122,215
ncrna,miR-1224-3p,216
ncrna,miR-1226,217
ncrna,miR-1226-3p,218
ncrna,miR-1229,219
ncrna,miR-1229-5p,220
ncrna,miR-1236,221
ncrna,miR-1236-3p,222
ncrna,miR-1238,223
ncrna,miR-124,224
ncrna,miR-124-3p,225
ncrna,miR-1243,226
ncrna,miR-1244,227
ncrna,miR-1246,228
ncrna,miR-1247,229
ncrna,miR-1247-5p,230
ncrna,miR-1253,231
ncrna,miR-125a,232
ncrna,miR-125a-3p,233
ncrna,miR-125a-5p,234
ncrna,miR-125b-1,235
ncrna,miR-125b-5p,236
ncrna,miR-126,237
ncrna,miR-126-3p,238
ncrna,miR-126-5p,239
ncrna,miR-1260b,240
ncrna,miR-1261,241
ncrna,miR-1268a,242
ncrna,miR-1268b,243
ncrna,miR-127,244
ncrna,miR-127-3p,245
ncrna,miR-1271,246
ncrna,miR-1273d,247
ncrna,miR-1273g-3p,248
ncrna,miR-1275,249
ncrna,miR-1284,250
ncrna,miR-1287,251
ncrna,miR-1291,252
ncrna,miR-1292-5p,253
ncrna,miR-1294,254
ncrna,miR-1299,255
ncrna,miR-1301,256
ncrna,miR-1307,257
ncrna,miR-130a,258
ncrna,miR-130a-3p,259
ncrna,miR-130a-5p,260
ncrna,miR-130b,261
ncrna,miR-132,262
ncrna,miR-133b,263
ncrna,miR-134,264
ncrna,miR-134-5p,265
ncrna,miR-135a-5p,266
ncrna,miR-135b,267
ncrna,miR-135b-5p,268
ncrna,miR-136,269
ncrna,miR-137,270
ncrna,miR-138-5p,271
ncrna,miR-139,272
ncrna,miR-139-3p,273
ncrna,miR-139-5p,274
ncrna,miR-140,275
ncrna,miR-140-3p,276
ncrna,miR-140-5p,277
ncrna,miR-141,278
ncrna,miR-141-3p,279
