1	0.11806	0.05425	0.06525	0.01905	0.04457	0.07303	0.06417	0.72228	0.0465	0.06543	0.02703	0.04372	0.04504	0.0608	0.15769	0	0.06525	0.0373	0.02648	0.24704	0.04628	0.05295	0.03925	0.05722	0.09487	0.03904	0.03167	0.06944	0.01905	0.08204	0.04504	0.06525	0.04372	0.02854	0.03671	0	0.07125	0	0.03708	0.05495	0.03879	0.03879	0.05337	0.024	0	0.02703	0	0.03904	0.07367	0	0.04438	0.024	0	0	0	0.12191	0	0.63704
0.11806	1	0.11648	0.1481	0.05118	0.09135	0.15407	0.16343	0.11806	0.09616	0.13354	0.06686	0.1199	0.10158	0.13489	0.13703	0	0.1481	0.09377	0.05272	0.17498	0.09561	0.12495	0.08573	0.13848	0.82914	0.09317	0.0742	0.14419	0.05118	0.1802	0.10158	0.1481	0.1199	0.06912	0.08085	0	0.16695	0	0.10656	0.11839	0.09945	0.09945	0.1141	0.05698	0	0.06686	0	0.09317	0.17486	0	0.09319	0.05698	0	0	0	0.53271	0	0.18175
0.05425	0.11648	1	0.07246	0.07773	0.26569	0.23202	0.12569	0.05425	0.25041	0.20683	0.10533	0.09093	0.05364	0.22572	0.11687	0	0.07246	0.0802	0.06028	0.26944	0.10617	0.10443	0.16939	0.06579	0.09783	0.04832	0.07018	0.12792	0.07773	0.67793	0.05364	0.07246	0.09093	0.14605	0.07959	0	0.07798	0	0.0794	0.06261	0.08276	0.20058	0.19038	0.0557	0	0.10533	0	0.04832	0.13581	0	0.09374	0.0557	0	0	0	0.1195	0	0.08198
0.06525	0.1481	0.07246	1	0.02845	0.175	0.27771	0.08078	0.06525	0.06202	0.08439	0.03755	0.05887	0.38939	0.23941	0.0823	0	0.08733	0.05009	0.03412	0.09423	0.06173	0.07344	0.05428	0.07943	0.12294	0.35015	0.3938	0.5073	0.02845	0.10609	0.38939	0.25713	0.05887	0.04246	0.04748	0	0.09547	0	0.05176	0.07341	0.05213	0.05213	0.07128	0.03329	0.03844	0.03755	0	0.35015	0.09874	0	0.05554	0.03329	0	0	0	0.15302	0	0.10152
0.01905	0.05118	0.07773	0.02845	1	0.06986	0.03187	0.14004	0.01905	0.08042	0.02861	0.7339	0.09562	0.01972	0.09485	0.02686	0	0.02845	0.0819	0.05869	0.11667	0.32947	0.02312	0.06825	0.02495	0.04118	0.01709	0.06979	0.03033	0.34713	0.03572	0.01972	0.02845	0.16201	0.01253	0.26921	0	0.03102	0	0.08114	0.02404	0.0851	0.14921	0.02336	0.05302	0	0.7339	0	0.01709	0.03205	0	0.09776	0.05302	0	0	0	0.0528	0	0.03292
0.04457	0.09135	0.26569	0.175	0.06986	1	0.64524	0.09866	0.04457	0.21982	0.17338	0.09169	0.07308	0.13381	0.30277	0.05706	0	0.05943	0.06629	0.0534	0.22152	0.09592	0.05105	0.1506	0.05388	0.07745	0.12076	0.13846	0.17122	0.06986	0.20731	0.13381	0.175	0.07308	0.12698	0.06724	0	0.0631	0	0.06445	0.05264	0.06794	0.16412	0.16069	0.04856	0.02645	0.09169	0	0.12076	0.06451	0	0.07844	0.04856	0	0	0	0.0932	0	0.06569
0.07303	0.15407	0.23202	0.27771	0.03187	0.64524	1	0.08304	0.07303	0.1962	0.26154	0.04093	0.0623	0.20247	0.25929	0.0891	0	0.09432	0.05348	0.03672	0.10222	0.06746	0.08051	0.0601	0.08681	0.12984	0.18431	0.17406	0.26382	0.03187	0.33216	0.20247	0.27771	0.0623	0.18113	0.05047	0	0.10273	0	0.05553	0.07979	0.05554	0.05554	0.24032	0.03647	0.04259	0.04093	0	0.18431	0.10609	0	0.05825	0.03647	0	0	0	0.1589	0	0.10894
0.06417	0.16343	0.12569	0.08078	0.14004	0.09866	0.08304	1	0.06417	0.1093	0.07	0.18898	0.68974	0.05236	0.15522	0.07349	0	0.08078	0.28655	0.13716	0.22941	0.10388	0.06686	0.097	0.07577	0.1316	0.0479	0.21098	0.07668	0.14004	0.10077	0.05236	0.08078	0.40706	0.03439	0.22946	0	0.09377	0	0.60191	0.06176	0.31067	0.31067	0.05915	0.15516	0	0.18898	0	0.0479	0.09945	0	0.26706	0.15516	0	0	0	0.17486	0	0.10453
0.72228	0.11806	0.05425	0.06525	0.01905	0.04457	0.07303	0.06417	1	0.0465	0.06543	0.02703	0.04372	0.04504	0.0608	0.15769	0	0.06525	0.0373	0.02648	0.24704	0.04628	0.05295	0.03925	0.05722	0.09487	0.03904	0.03167	0.06944	0.01905	0.08204	0.04504	0.06525	0.04372	0.02854	0.03671	0	0.07125	0	0.03708	0.05495	0.03879	0.03879	0.05337	0.024	0	0.02703	0	0.03904	0.07367	0	0.04438	0.024	0	0	0	0.12191	0	0.63704
0.0465	0.09616	0.25041	0.06202	0.08042	0.21982	0.1962	0.1093	0.0465	1	0.76036	0.10404	0.08182	0.04712	0.17125	0.05944	0	0.06202	0.07382	0.05821	0.1973	0.10513	0.05317	0.19583	0.21559	0.08138	0.0425	0.06602	0.06531	0.08042	0.2132	0.04712	0.06202	0.08182	0.12848	0.074	0	0.06602	0	0.07258	0.13802	0.07577	0.19415	0.19717	0.05393	0	0.10404	0	0.0425	0.06757	0	0.08584	0.05393	0	0	0	0.09821	0	0.06886
0.06543	0.13354	0.20683	0.08439	0.02861	0.17338	0.26154	0.07	0.06543	0.76036	1	0.03635	0.05303	0.06285	0.07935	0.08019	0	0.08439	0.0465	0.0336	0.08967	0.06222	0.07252	0.13815	0.29424	0.11332	0.05727	0.04047	0.08661	0.02861	0.28927	0.06285	0.08439	0.05303	0.1647	0.04477	0	0.09106	0	0.04742	0.18188	0.04805	0.04805	0.25842	0.03279	0	0.03635	0	0.05727	0.0937	0	0.05152	0.03279	0	0	0	0.13716	0	0.09591
0.02703	0.06686	0.10533	0.03755	0.7339	0.09169	0.04093	0.18898	0.02703	0.10404	0.03635	1	0.13332	0.02608	0.12778	0.03524	0	0.03755	0.11146	0.07398	0.16282	0.43132	0.03104	0.0903	0.03376	0.05454	0.02315	0.09301	0.03876	0.49146	0.04646	0.02608	0.03755	0.2259	0.01714	0.36222	0	0.04134	0	0.11547	0.03119	0.11647	0.20634	0.03023	0.07133	0	1	0	0.02315	0.04288	0	0.12495	0.07133	0	0	0	0.06931	0	0.04419
0.04372	0.1199	0.09093	0.05887	0.09562	0.07308	0.0623	0.68974	0.04372	0.08182	0.05303	0.13332	1	0.038	0.11248	0.05388	0	0.05887	0.20115	0.10463	0.15932	0.07679	0.04789	0.07099	0.05385	0.09525	0.034	0.15214	0.0578	0.09562	0.0746	0.038	0.05887	0.27416	0.02417	0.16972	0	0.06762	0	0.85817	0.04572	0.21626	0.21626	0.04388	0.11093	0	0.13332	0	0.034	0.07139	0	0.20175	0.11093	0	0	0	0.12735	0	0.07472
0.04504	0.10158	0.05364	0.38939	0.01972	0.13381	0.20247	0.05236	0.04504	0.04712	0.06285	0.02608	0.038	1	0.17347	0.05949	0	0.06237	0.03375	0.02584	0.06385	0.04693	0.05252	0.0409	0.05591	0.08451	0.79036	0.27596	0.36982	0.01972	0.07547	1	0.18365	0.038	0.03156	0.03372	0	0.0669	0	0.03321	0.05422	0.03477	0.03477	0.05292	0.02371	0.02697	0.02608	0	0.79036	0.06867	0	0.03968	0.02371	0	0	0	0.10406	0	0.07016
0.0608	0.13489	0.22572	0.23941	0.09485	0.30277	0.25929	0.15522	0.0608	0.17125	0.07935	0.12778	0.11248	0.17347	1	0.07694	0	0.08131	0.09716	0.06899	0.33299	0.12139	0.0687	0.19869	0.07391	0.11252	0.1561	0.19382	0.22906	0.09485	0.09824	0.17347	0.23941	0.11248	0.04053	0.094	0	0.08832	0	0.09848	0.06911	0.10076	0.25079	0.06722	0.06565	0.08072	0.12778	0	0.1561	0.09112	0	0.11042	0.06565	0	0	0	0.13896	0	0.09348
0.15769	0.13703	0.11687	0.0823	0.02686	0.05706	0.0891	0.07349	0.15769	0.05944	0.08019	0.03524	0.05388	0.05949	0.07694	1	0	0.0823	0.04643	0.03257	0.08781	0.05917	0.28661	0.05209	0.07482	0.11422	0.05353	0.03978	0.14385	0.02686	0.16865	0.05949	0.0823	0.05388	0.04085	0.04453	0	0.0895	0	0.04747	0.06983	0.04818	0.04818	0.0679	0.03146	0	0.03524	0	0.05353	0.15651	0	0.052	0.03146	0	0	0	0.14123	0	0.24292
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06525	0.1481	0.07246	0.08733	0.02845	0.05943	0.09432	0.08078	0.06525	0.06202	0.08439	0.03755	0.05887	0.06237	0.08131	0.0823	0	1	0.05009	0.03412	0.09423	0.06173	0.07344	0.15984	0.13459	0.12294	0.05609	0.04243	0.08962	0.02845	0.10609	0.06237	0.08733	0.05887	0.04246	0.04748	0	0.09547	0	0.05176	0.21615	0.05213	0.05213	0.44499	0.03329	0	0.03755	0	0.05609	0.09874	0	0.05554	0.03329	0	0	0	0.15302	0	0.10152
0.0373	0.09377	0.0802	0.05009	0.0819	0.06629	0.05348	0.28655	0.0373	0.07382	0.0465	0.11146	0.20115	0.03375	0.09716	0.04643	0	0.05009	1	0.09316	0.12907	0.06933	0.04134	0.06428	0.0457	0.07607	0.03026	0.31351	0.05013	0.0819	0.0623	0.03375	0.05009	0.20115	0.02207	0.14147	0	0.05628	0	0.17479	0.04024	0.56217	0.16813	0.03881	0.09537	0	0.11146	0	0.03026	0.05887	0	0.16695	0.09537	0	0	0	0.09826	0	0.06112
0.02648	0.05272	0.06028	0.03412	0.05869	0.0534	0.03672	0.13716	0.02648	0.05821	0.0336	0.07398	0.10463	0.02584	0.06899	0.03257	0	0.03412	0.09316	1	0.08037	0.05512	0.02947	0.05181	0.03135	0.04497	0.02356	0.08225	0.03526	0.05869	0.04024	0.02584	0.03412	0.10463	0.01864	0.09102	0	0.03656	0	0.09378	0.02972	0.09591	0.09591	0.02901	0.19652	0	0.07398	0	0.02356	0.03751	0	0.29908	0.19652	0	0	0	0.05399	0	0.03831
0.24704	0.17498	0.26944	0.09423	0.11667	0.22152	0.10222	0.22941	0.24704	0.1973	0.08967	0.16282	0.15932	0.06385	0.33299	0.08781	0	0.09423	0.12907	0.08037	1	0.13772	0.07727	0.22907	0.08484	0.14137	0.0566	0.10496	0.09622	0.11667	0.11776	0.06385	0.09423	0.15932	0.04124	0.11877	0	0.10496	0	0.13729	0.07678	0.13583	0.34808	0.0742	0.07909	0	0.16282	0	0.0566	0.10939	0	0.14143	0.07909	0	0	0	0.18249	0	0.41296
0.04628	0.09561	0.10617	0.06173	0.32947	0.09592	0.06746	0.10388	0.04628	0.10513	0.06222	0.43132	0.07679	0.04693	0.12139	0.05917	0	0.06173	0.06933	0.05512	0.13772	1	0.05293	0.09234	0.05597	0.08093	0.04233	0.06204	0.06502	0.32947	0.07327	0.04693	0.06173	0.12761	0.03352	0.23361	0	0.06569	0	0.06768	0.05443	0.07114	0.12346	0.05325	0.05037	0	0.43132	0	0.04233	0.06722	0	0.0817	0.05037	0	0	0	0.09764	0	0.0685
0.05295	0.12495	0.10443	0.07344	0.02312	0.05105	0.08051	0.06686	0.05295	0.05317	0.07252	0.03104	0.04789	0.05252	0.0687	0.28661	0	0.07344	0.04134	0.02947	0.07727	0.05293	1	0.04602	0.06594	0.10298	0.04668	0.03547	0.13004	0.02312	0.15226	0.05252	0.07344	0.04789	0.03525	0.0402	0	0.0798	0	0.04168	0.06239	0.04288	0.04288	0.06068	0.02774	0	0.03104	0	0.04668	0.19035	0	0.04749	0.02774	0	0	0	0.12873	0	0.08449
0.03925	0.08573	0.16939	0.05428	0.06825	0.1506	0.0601	0.097	0.03925	0.19583	0.13815	0.0903	0.07099	0.0409	0.19869	0.05209	0	0.15984	0.06428	0.05181	0.22907	0.09234	0.04602	1	0.16472	0.07178	0.03646	0.05768	0.05797	0.06825	0.06515	0.0409	0.05428	0.07099	0.0286	0.06546	0	0.05768	0	0.06223	0.41432	0.06591	0.1689	0.13833	0.04667	0	0.0903	0	0.03646	0.05899	0	0.0768	0.04667	0	0	0	0.08749	0	0.06009
