1	0.04572	0.1199	0.04759	0.46835	0.034	0.038	0.11093	0.0578	0.07184	0.13332	0.19051	0.11248	0.68974	0.08733	0.15932	0.07472	0.04372	0.16972	0.10463	0.06832	0.20115	0.05303	0.0623	0.05887	0.07099	0.05887
0.04572	1	0.11839	0.21067	0.0385	0.04884	0.05422	0.0282	0.07641	0.05203	0.03119	0.09936	0.06911	0.06176	0.09535	0.07678	0.08319	0.05495	0.03937	0.02972	0.04197	0.04024	0.18188	0.07979	0.21615	0.41432	0.07341
0.1199	0.11839	1	0.12426	0.08663	0.09317	0.10158	0.05698	0.14419	0.08993	0.06686	0.22143	0.13489	0.16343	0.20598	0.17498	0.18175	0.11806	0.08085	0.05272	0.0756	0.09377	0.13354	0.15407	0.1481	0.08573	0.1481
0.04759	0.21067	0.12426	1	0.03911	0.04652	0.05234	0.02763	0.07644	0.05027	0.0309	0.10243	0.06842	0.06641	0.09778	0.07687	0.08407	0.05272	0.04001	0.02937	0.03951	0.04111	0.27398	0.08018	0.12391	0.1555	0.07313
0.46835	0.0385	0.08663	0.03911	1	0.02906	0.03239	0.12725	0.04773	0.06309	0.10496	0.14138	0.09241	0.4367	0.06623	0.12043	0.05719	0.03534	0.1331	0.16897	0.06017	0.14716	0.04443	0.05076	0.04742	0.06206	0.04742
0.034	0.04884	0.09317	0.04652	0.02906	1	0.79036	0.02108	0.33357	0.22729	0.02315	0.07671	0.1561	0.0479	0.21744	0.0566	0.06299	0.03904	0.03066	0.02356	0.03116	0.03026	0.05727	0.18431	0.05609	0.03646	0.35015
0.038	0.05422	0.10158	0.05234	0.03239	0.79036	1	0.02371	0.36982	0.25439	0.02608	0.08451	0.17347	0.05236	0.23942	0.06385	0.07016	0.04504	0.03372	0.02584	0.03539	0.03375	0.06285	0.20247	0.06237	0.0409	0.38939
0.11093	0.0282	0.05698	0.02763	0.12725	0.02108	0.02371	1	0.03473	0.04795	0.07133	0.09265	0.06565	0.15516	0.0447	0.07909	0.03841	0.024	0.09239	0.19652	0.04573	0.09537	0.03279	0.03647	0.03329	0.04667	0.03329
0.0578	0.07641	0.14419	0.07644	0.04773	0.33357	0.36982	0.03473	1	0.67711	0.03876	0.20659	0.22906	0.07668	0.32039	0.09622	0.10273	0.06944	0.04776	0.03526	0.0867	0.05013	0.08661	0.26382	0.08962	0.05797	0.5073
0.07184	0.05203	0.08993	0.05027	0.06309	0.22729	0.25439	0.04795	0.67711	1	0.09043	0.30302	0.24836	0.09692	0.20481	0.17128	0.06474	0.044	0.06631	0.05281	0.14352	0.06527	0.05944	0.17793	0.05866	0.11699	0.33545
0.13332	0.03119	0.06686	0.0309	0.10496	0.02315	0.02608	0.07133	0.03876	0.09043	1	0.18259	0.12778	0.18898	0.0516	0.16282	0.04419	0.02703	0.36222	0.07398	0.0914	0.11146	0.03635	0.04093	0.03755	0.0903	0.03755
