"disease_id","pathway_id","evidence","weight"
"9","967","context_pathway_projection","0.5148571133613586"
"9","968","context_pathway_projection","0.5061306953430176"
"9","969","context_pathway_projection","0.5235834717750549"
"9","1011","context_pathway_projection","0.5061306953430176"
"9","1013","context_pathway_projection","0.5061306953430176"
"10","199","context_pathway_projection","0.49772483110427856"
"10","284","context_pathway_projection","0.48756715655326843"
"10","285","context_pathway_projection","0.49772483110427856"
"10","286","context_pathway_projection","0.49772483110427856"
"10","434","context_pathway_projection","0.4015706181526184"
"10","518","context_pathway_projection","0.5352534055709839"
"10","524","context_pathway_projection","0.4642344117164612"
"10","528","context_pathway_projection","0.5237650275230408"
"10","625","context_pathway_projection","0.5078824758529663"
"10","631","context_pathway_projection","0.430813729763031"
"10","653","context_pathway_projection","0.46725189685821533"
"10","668","context_pathway_projection","0.4349913001060486"
"11","199","context_pathway_projection","0.5147424340248108"
"11","284","context_pathway_projection","0.5042374730110168"
"11","285","context_pathway_projection","0.5147424340248108"
"11","286","context_pathway_projection","0.5147424340248108"
"11","484","context_pathway_projection","0.47278931736946106"
"11","625","context_pathway_projection","0.5252473950386047"
"11","653","context_pathway_projection","0.48322761058807373"
"11","967","context_pathway_projection","0.48094087839126587"
"11","968","context_pathway_projection","0.47278931736946106"
"11","969","context_pathway_projection","0.4890924096107483"
"11","1011","context_pathway_projection","0.47278931736946106"
"11","1013","context_pathway_projection","0.47278931736946106"
"12","111","context_pathway_projection","0.5512881278991699"
"12","199","context_pathway_projection","0.45179909467697144"
"12","284","context_pathway_projection","0.4425787031650543"
"12","285","context_pathway_projection","0.45179909467697144"
"12","286","context_pathway_projection","0.45179909467697144"
"12","409","context_pathway_projection","0.4166223108768463"
"12","625","context_pathway_projection","0.46101948618888855"
"12","653","context_pathway_projection","0.4241379201412201"
"12","831","context_pathway_projection","0.44748324155807495"
"12","972","context_pathway_projection","0.5540936589241028"
"12","1090","context_pathway_projection","0.5512881278991699"
"12","1092","context_pathway_projection","0.4727330803871155"
"13","44","context_pathway_projection","0.6474061012268066"
"13","159","context_pathway_projection","0.6703047156333923"
"13","231","context_pathway_projection","0.5485258102416992"
"13","420","context_pathway_projection","0.7390005588531494"
"13","433","context_pathway_projection","0.593282163143158"
"13","454","context_pathway_projection","0.5610159039497375"
"13","518","context_pathway_projection","0.0076337107457220554"
"13","524","context_pathway_projection","0.006620847620069981"
"13","528","context_pathway_projection","0.007469865493476391"
"13","668","context_pathway_projection","0.0062037864699959755"
"13","930","context_pathway_projection","0.6369976997375488"
"13","1008","context_pathway_projection","0.5485258102416992"
"14","111","context_pathway_projection","0.5399019122123718"
"14","199","context_pathway_projection","0.4461309313774109"
"14","284","context_pathway_projection","0.4370262026786804"
"14","285","context_pathway_projection","0.4461309313774109"
"14","286","context_pathway_projection","0.4461309313774109"
"14","409","context_pathway_projection","0.40801745653152466"
"14","625","context_pathway_projection","0.45523563027381897"
"14","653","context_pathway_projection","0.41881677508354187"
"14","831","context_pathway_projection","0.43824100494384766"
