"drug_id","pathway_id","weight","evidence"
"0","381","1.0","pathway_prior_projection"
"0","382","1.0","pathway_prior_projection"
"0","518","1.0","pathway_prior_projection"
"0","524","1.0","pathway_prior_projection"
"0","528","1.0","pathway_prior_projection"
"0","530","1.0","pathway_prior_projection"
"0","607","1.0","pathway_prior_projection"
"0","682","1.0","pathway_prior_projection"
"0","740","1.0","pathway_prior_projection"
"0","866","1.0","pathway_prior_projection"
"0","867","1.0","pathway_prior_projection"
"0","872","1.0","pathway_prior_projection"
"0","1099","1.0","pathway_prior_projection"
"2","44","1.0","pathway_prior_projection"
"2","50","1.0","pathway_prior_projection"
"2","75","1.0","pathway_prior_projection"
"2","91","1.0","pathway_prior_projection"
"2","116","1.0","pathway_prior_projection"
"2","118","1.0","pathway_prior_projection"
"2","119","1.0","pathway_prior_projection"
"2","120","1.0","pathway_prior_projection"
"2","121","1.0","pathway_prior_projection"
"2","137","1.0","pathway_prior_projection"
"2","144","1.0","pathway_prior_projection"
"2","194","1.0","pathway_prior_projection"
"2","195","1.0","pathway_prior_projection"
"2","197","1.0","pathway_prior_projection"
"2","212","1.0","pathway_prior_projection"
"2","222","1.0","pathway_prior_projection"
"2","268","1.0","pathway_prior_projection"
"2","381","1.0","pathway_prior_projection"
"2","382","1.0","pathway_prior_projection"
"2","403","1.0","pathway_prior_projection"
"2","409","1.0","pathway_prior_projection"
"2","420","1.0","pathway_prior_projection"
"2","424","1.0","pathway_prior_projection"
"2","459","1.0","pathway_prior_projection"
"2","509","1.0","pathway_prior_projection"
"2","510","1.0","pathway_prior_projection"
"2","639","1.0","pathway_prior_projection"
"2","642","1.0","pathway_prior_projection"
"2","650","1.0","pathway_prior_projection"
"2","740","1.0","pathway_prior_projection"
"2","786","1.0","pathway_prior_projection"
"2","792","1.0","pathway_prior_projection"
"2","793","1.0","pathway_prior_projection"
"2","796","1.0","pathway_prior_projection"
"2","797","1.0","pathway_prior_projection"
"2","831","1.0","pathway_prior_projection"
"2","890","1.0","pathway_prior_projection"
"2","962","1.0","pathway_prior_projection"
"2","972","1.0","pathway_prior_projection"
"2","1018","1.0","pathway_prior_projection"
"2","1060","1.0","pathway_prior_projection"
"2","1090","1.0","pathway_prior_projection"
"2","1092","1.0","pathway_prior_projection"
"2","1096","1.0","pathway_prior_projection"
"2","1108","1.0","pathway_prior_projection"
"6","42","1.0","pathway_prior_projection"
"6","80","1.0","pathway_prior_projection"
"6","106","1.0","pathway_prior_projection"
"6","108","1.0","pathway_prior_projection"
"6","128","1.0","pathway_prior_projection"
"6","166","1.0","pathway_prior_projection"
"6","170","1.0","pathway_prior_projection"
"6","171","1.0","pathway_prior_projection"
"6","172","1.0","pathway_prior_projection"
"6","173","1.0","pathway_prior_projection"
"6","175","1.0","pathway_prior_projection"
"6","176","1.0","pathway_prior_projection"
"6","184","1.0","pathway_prior_projection"
"6","212","1.0","pathway_prior_projection"
"6","221","1.0","pathway_prior_projection"
"6","246","1.0","pathway_prior_projection"
"6","247","1.0","pathway_prior_projection"
"6","248","1.0","pathway_prior_projection"
"6","287","1.0","pathway_prior_projection"
"6","351","1.0","pathway_prior_projection"
"6","352","1.0","pathway_prior_projection"
"6","375","1.0","pathway_prior_projection"
"6","376","1.0","pathway_prior_projection"
"6","383","1.0","pathway_prior_projection"
"6","396","1.0","pathway_prior_projection"
"6","397","1.0","pathway_prior_projection"
"6","410","1.0","pathway_prior_projection"
"6","430","1.0","pathway_prior_projection"
"6","475","1.0","pathway_prior_projection"
"6","477","1.0","pathway_prior_projection"
"6","535","1.0","pathway_prior_projection"
"6","536","1.0","pathway_prior_projection"
"6","537","1.0","pathway_prior_projection"
