846	7	10	1
846	11	1	2
846	7	3	2
847	7	10	2
847	9	10	2
847	7	3	1
848	1	13	1
848	7	10	2
848	18	14	1
848	14	14	1
849	9	24	1
850	0	0	1
850	4	11	2
850	4	4	1
850	4	11	2
850	20	17	2
850	7	3	2
850	9	1	1
850	7	14	2
851	0	0	1
851	1	3	1
851	9	3	1
851	1	1	1
851	0	0	1
851	4	4	2
852	20	0	1
852	3	26	1
852	9	17	1
852	7	10	1
852	9	26	1
853	7	10	2
853	9	10	2
854	2	13	1
854	3	13	1
854	7	10	1
854	9	9	2
854	7	9	2
854	1	14	1
854	3	14	1
854	7	14	1
854	1	12	1
854	9	13	1
854	7	14	1
854	3	3	2
854	2	3	2
854	2	3	2
854	3	3	2
854	35	0	1
854	36	0	1
854	17	14	1
854	14	14	1
854	4	11	1
855	9	10	2
855	7	10	2
856	7	10	2
856	9	10	2
857	1	18	2
857	9	24	2
857	4	11	1
857	1	1	2
857	1	3	1
857	5	3	1
857	17	14	1
857	4	4	2
858	14	14	2
858	7	0	1
858	4	11	1
858	4	11	1
858	7	18	1
858	17	14	1
858	1	1	1
859	1	3	2
859	4	4	2
859	7	0	2
859	6	6	2
859	3	6	2
859	7	11	2
859	6	6	2
859	14	14	2
859	7	25	2
859	1	25	2
859	9	24	2
859	7	10	2
859	9	25	2
859	7	25	2
859	1	14	2
859	1	1	2
859	7	14	2
859	7	10	2
859	7	0	2
859	17	14	1
859	20	17	2
860	2	13	1
860	3	13	1
861	7	20	1
861	8	0	2
861	5	3	1
861	7	10	1
861	9	1	1
861	3	14	2
861	20	14	2
861	9	14	2
861	42	14	2
861	2	13	1
861	9	25	1
861	7	33	1
861	3	13	1
861	43	1	1
861	11	1	1
861	11	1	1
861	15	19	1
861	9	24	1
861	11	1	1
861	44	34	2
861	0	20	1
861	3	13	2
861	11	1	1
861	1	1	1
861	7	35	1
861	0	0	1
861	1	1	1
861	9	1	1
861	10	0	2
861	0	0	2
861	10	0	1
861	14	14	1
861	4	4	1
861	45	34	2
861	44	34	2
861	5	19	1
861	11	1	1
861	1	7	1
861	2	14	1
861	4	4	2
861	11	1	1
861	33	17	1
862	9	10	1
862	7	10	1
863	1	8	1
863	35	20	1
864	7	20	1
864	7	3	1
864	7	0	1
864	4	4	1
864	7	24	2
864	7	3	1
864	5	3	1
864	6	6	1
864	8	0	1
864	7	13	1
864	9	13	1
864	7	0	1
864	3	3	1
864	32	3	1
864	1	3	1
864	7	3	1
864	47	24	1
864	7	10	1
864	1	1	1
864	22	19	1
864	11	1	2
864	4	4	1
864	7	10	1
864	14	14	1
864	3	28	1
864	0	0	2
864	28	14	1
864	9	10	1
864	7	18	1
864	16	23	1
864	7	10	1
864	0	0	1
864	1	12	1
864	1	12	1
864	3	3	2
864	2	3	2
864	12	27	1
864	9	17	1
864	0	0	1
864	4	4	2
865	9	20	1
865	38	8	1
865	7	8	1
865	1	8	1
865	7	17	1
865	7	3	1
865	14	14	1
865	7	6	1
865	7	10	1
865	32	13	1
865	1	28	1
865	4	4	2
866	1	12	1
866	48	36	1
866	14	14	1
866	1	1	1
0	7	10	2
0	1	10	1
0	1	1	2
0	41	1	2
0	3	26	1
0	7	10	1
0	7	10	2
0	2	13	1
0	9	0	2
0	1	3	2
0	5	3	2
0	0	20	2
0	12	27	1
0	7	38	2
0	1	1	2
0	7	10	2
0	7	0	2
0	3	13	2
0	7	10	2
0	3	13	2
0	54	39	1
0	11	1	1
0	43	1	1
0	11	1	1
0	0	0	2
0	34	35	2
0	0	13	2
0	53	13	2
1	1	1	1
1	1	1	2
1	41	1	2
1	1	7	2
1	59	3	1
1	3	26	1
1	7	10	1
1	7	10	1
1	7	10	2
1	9	20	2
1	7	28	2
1	7	28	2
1	7	9	2
1	2	13	2
1	0	0	2
2	1	1	1
2	7	10	2
2	1	1	2
2	41	1	2
2	11	1	2
2	7	10	1
2	9	10	2
2	2	13	2
2	9	0	2
