id,name,canonical_name,source_datasets,type
215,miR-122,mir-122,dataset1,ncrna
216,miR-1224-3p,mir-1224-3p,dataset1,ncrna
217,miR-1226,mir-1226,dataset1,ncrna
218,miR-1226-3p,mir-1226-3p,dataset1,ncrna
219,miR-1229,mir-1229,dataset1,ncrna
220,miR-1229-5p,mir-1229-5p,dataset1,ncrna
221,miR-1236,mir-1236,dataset1,ncrna
222,miR-1236-3p,mir-1236-3p,dataset1,ncrna
223,miR-1238,mir-1238,dataset1,ncrna
224,miR-124,mir-124,dataset1,ncrna
225,miR-124-3p,mir-124-3p,dataset1,ncrna
226,miR-1243,mir-1243,dataset1,ncrna
227,miR-1244,mir-1244,dataset1,ncrna
228,miR-1246,mir-1246,dataset1,ncrna
229,miR-1247,mir-1247,dataset1,ncrna
230,miR-1247-5p,mir-1247-5p,dataset1,ncrna
231,miR-1253,mir-1253,dataset1,ncrna
232,miR-125a,mir-125a,dataset1,ncrna
233,miR-125a-3p,mir-125a-3p,dataset1,ncrna
234,miR-125a-5p,mir-125a-5p,dataset1,ncrna
235,miR-125b-1,mir-125b-1,dataset1,ncrna
236,miR-125b-5p,mir-125b-5p,dataset1,ncrna
237,miR-126,mir-126,dataset1,ncrna
238,miR-126-3p,mir-126-3p,dataset1,ncrna
239,miR-126-5p,mir-126-5p,dataset1,ncrna
240,miR-1260b,mir-1260b,dataset1,ncrna
241,miR-1261,mir-1261,dataset1,ncrna
242,miR-1268a,mir-1268a,dataset1,ncrna
243,miR-1268b,mir-1268b,dataset1,ncrna
244,miR-127,mir-127,dataset1,ncrna
245,miR-127-3p,mir-127-3p,dataset1,ncrna
246,miR-1271,mir-1271,dataset1,ncrna
247,miR-1273d,mir-1273d,dataset1,ncrna
248,miR-1273g-3p,mir-1273g-3p,dataset1,ncrna
249,miR-1275,mir-1275,dataset1,ncrna
250,miR-1284,mir-1284,dataset1,ncrna
251,miR-1287,mir-1287,dataset1,ncrna
252,miR-1291,mir-1291,dataset1,ncrna
253,miR-1292-5p,mir-1292-5p,dataset1,ncrna
254,miR-1294,mir-1294,dataset1,ncrna
255,miR-1299,mir-1299,dataset1,ncrna
256,miR-1301,mir-1301,dataset1,ncrna
257,miR-1307,mir-1307,dataset1,ncrna
258,miR-130a,mir-130a,dataset1,ncrna
259,miR-130a-3p,mir-130a-3p,dataset1,ncrna
260,miR-130a-5p,mir-130a-5p,dataset1,ncrna
261,miR-130b,mir-130b,dataset1,ncrna
262,miR-132,mir-132,dataset1,ncrna
263,miR-133b,mir-133b,dataset1,ncrna
264,miR-134,mir-134,dataset1,ncrna
265,miR-134-5p,mir-134-5p,dataset1,ncrna
266,miR-135a-5p,mir-135a-5p,dataset1,ncrna
267,miR-135b,mir-135b,dataset1,ncrna
268,miR-135b-5p,mir-135b-5p,dataset1,ncrna
269,miR-136,mir-136,dataset1,ncrna
270,miR-137,mir-137,dataset1,ncrna
271,miR-138-5p,mir-138-5p,dataset1,ncrna
272,miR-139,mir-139,dataset1,ncrna
273,miR-139-3p,mir-139-3p,dataset1,ncrna
274,miR-139-5p,mir-139-5p,dataset1,ncrna
275,miR-140,mir-140,dataset1,ncrna
276,miR-140-3p,mir-140-3p,dataset1,ncrna
277,miR-140-5p,mir-140-5p,dataset1,ncrna
278,miR-141,mir-141,dataset1,ncrna
279,miR-141-3p,mir-141-3p,dataset1,ncrna
280,miR-142-3p,mir-142-3p,dataset1,ncrna
281,miR-142-5p,mir-142-5p,dataset1,ncrna
282,miR-143,mir-143,dataset1,ncrna
283,miR-144,mir-144,dataset1,ncrna
284,miR-144-3p,mir-144-3p,dataset1,ncrna
285,miR-145,mir-145,dataset1,ncrna
286,miR-145-5p,mir-145-5p,dataset1,ncrna
287,miR-1468,mir-1468,dataset1,ncrna
288,miR-146a,mir-146a,dataset1,ncrna
289,miR-146a-5p,mir-146a-5p,dataset1,ncrna
290,miR-146b-5p,mir-146b-5p,dataset1,ncrna
291,miR-1470,mir-1470,dataset1,ncrna
292,miR-148a,mir-148a,dataset1,ncrna
293,miR-148a-3p,mir-148a-3p,dataset1,ncrna
294,miR-148b,mir-148b,dataset1,ncrna
295,miR-149,mir-149,dataset1,ncrna
296,miR-149-5p,mir-149-5p,dataset1,ncrna
297,miR-150,mir-150,dataset1,ncrna
298,miR-152,mir-152,dataset1,ncrna
299,miR-153,mir-153,dataset1,ncrna
300,miR-153-5p,mir-153-5p,dataset1,ncrna
301,miR-1538,mir-1538,dataset1,ncrna
302,miR-1539,mir-1539,dataset1,ncrna
303,miR-155,mir-155,dataset1,ncrna
304,miR-155-3p,mir-155-3p,dataset1,ncrna
305,miR-155-5p,mir-155-5p,dataset1,ncrna
306,miR-15b,mir-15b,dataset1,ncrna
307,miR-15b-5p,mir-15b-5p,dataset1,ncrna
308,miR-16,mir-16,dataset1,ncrna
309,miR-17,mir-17,dataset1,ncrna
310,miR-17-5p,mir-17-5p,dataset1,ncrna
311,miR-17-92,mir-17-92,dataset1,ncrna
312,miR-181,mir-181,dataset1,ncrna
313,miR-181a,mir-181a,dataset1,ncrna
